name,kind
English Pointer,dog
English Setter,dog
Kerry Blue Terrier,dog
Cairn Terrier,dog
English Cocker Spaniel,dog
Gordon Setter,dog
Airedale Terrier,dog
Australian Terrier,dog
Bedlington Terrier,dog
Border Terrier,dog
Bull Terrier,dog
Fox Terrier (Smooth),dog
English Toy Terrier (Black &Tan),dog
Swedish Vallhund,dog
Belgian Shepherd Dog,dog
Old English Sheepdog,dog
Griffon Nivernais,dog
Briquet Griffon Vendeen,dog
Ariegeois,dog
Gascon Saintongeois,dog
Great Gascony Blue,dog
Poitevin,dog
Billy,dog
Artois Hound,dog
Porcelaine,dog
Small Blue Gascony,dog
Blue Gascony Griffon,dog
Grand Basset Griffon Vendeen,dog
Norman Artesien Basset,dog
Blue Gascony Basset,dog
Basset Fauve De Bretagne,dog
Portuguese Water Dog,dog
Welsh Corgi (Cardigan),dog
Welsh Corgi (Pembroke),dog
Irish Soft Coated Wheaten Terrier,dog
Yugoslavian Shepherd Dog - Sharplanina,dog
Jämthund,dog
Basenji,dog
Berger De Beauce,dog
Bernese Mountain Dog,dog
Appenzell Cattle Dog,dog
Entlebuch Cattle Dog,dog
Karelian Bear Dog,dog
Finnish Spitz,dog
Newfoundland,dog
Finnish Hound,dog
Polish Hound,dog
Komondor,dog
Kuvasz,dog
Puli,dog
Pumi,dog
Hungarian Short-Haired Pointer (Vizsla),dog
Great Swiss Mountain Dog,dog
Swiss Hound,dog
Small Swiss Hound,dog
St. Bernard,dog
Coarse-Haired Styrian Hound,dog
Austrian Black And Tan Hound,dog
Austrian  Pinscher,dog
Maltese,dog
Fawn Brittany Griffon,dog
Petit Basset Griffon Vendeen,dog
Tyrolean Hound,dog
Lakeland Terrier,dog
Manchester Terrier,dog
Norwich Terrier,dog
Scottish Terrier,dog
Sealyham Terrier,dog
Skye Terrier,dog
Staffordshire Bull Terrier,dog
Continental Toy Spaniel,dog
Welsh Terrier,dog
Griffon Bruxellois,dog
Griffon Belge,dog
Petit Brabançon,dog
Schipperke,dog
Bloodhound,dog
West Highland White Terrier,dog
Yorkshire Terrier,dog
Catalan Sheepdog,dog
Shetland Sheepdog,dog
Ibizan Podenco,dog
Burgos Pointing Dog,dog
Spanish Mastiff,dog
Pyrenean Mastiff,dog
Portuguese Sheepdog,dog
Portuguese Warren Hound-Portuguese Podengo,dog
Brittany Spaniel,dog
Rafeiro Of Alentejo,dog
German Spitz,dog
German Wire- Haired Pointing Dog,dog
Weimaraner,dog
Westphalian Dachsbracke,dog
French Bulldog,dog
Kleiner Münsterländer,dog
German Hunting Terrier,dog
German Spaniel,dog
French Water Dog,dog
Blue Picardy Spaniel,dog
Wire-Haired Pointing Griffon Korthals,dog
Picardy Spaniel,dog
Clumber Spaniel,dog
Curly Coated Retriever,dog
Golden Retriever,dog
Briard,dog
Pont-Audemer Spaniel,dog
Saint Germain Pointer,dog
Dogue De Bordeaux,dog
Deutsch Langhaar,dog
Large Munsterlander,dog
German Short- Haired Pointing Dog,dog
Irish Red Setter,dog
Flat Coated Retriever,dog
Labrador Retriever,dog
Field Spaniel,dog
Irish Water Spaniel,dog
English Springer Spaniel,dog
Welsh Springer Spaniel,dog
Sussex Spaniel,dog
King Charles Spaniel,dog
Smålandsstövare,dog
Drever,dog
Schillerstövare,dog
Hamiltonstövare,dog
French Pointing Dog - Gascogne Type,dog
French Pointing Dog - Pyrenean Type,dog
Swedish Lapphund,dog
Cavalier King Charles Spaniel,dog
Pyrenean Mountain Dog,dog
Pyrenean Sheepdog - Smooth Faced,dog
Irish Terrier,dog
Boston Terrier,dog
Long-Haired Pyrenean Sheepdog,dog
Slovakian Chuvach,dog
Dobermann,dog
Boxer,dog
Leonberger,dog
Rhodesian Ridgeback,dog
Rottweiler,dog
Dachshund,dog
Bulldog,dog
Serbian Hound,dog
Istrian Short-Haired Hound,dog
Istrian Wire-Haired Hound,dog
Dalmatian,dog
Posavatz Hound,dog
Bosnian Broken-Haired Hound - Called Barak,dog
Collie Rough,dog
Bullmastiff,dog
Greyhound,dog
English Foxhound,dog
Irish Wolfhound,dog
Beagle,dog
Whippet,dog
Basset Hound,dog
Deerhound,dog
Italian Spinone,dog
German Shepherd Dog,dog
American Cocker Spaniel,dog
